HS_size,HS_Head,house_type,wallMaterial,floor_status,waterSupplyRating,securityConsideration,entryRestrictions,insecurityReports,conduciveEnvironment,distanceTown,amenities.schools,amenities.tertiaryEducation,amenities.healthCenters,amenities.socialHalls,amenities.tradeCenters,amenities.worshipCenters,amenities.other,roadState,Which_means_of_transport_do_you_use,employmentStatus,HS_expenditure,jointIncome,rentPrice,currentIssues.currentIssues_header,currentIssues.State_of_the_economy_nd_employment_market,currentIssues.Food_Security_and_nutrition,currentIssues.Affordable_housing,currentIssues.Access_to_affordable_healthcare,homeOwnershipAspire,NGActions,countyActions,enoughtHousing,stayLength,expectMove,expectMove_HS,supportAHProject
1,female,singleRoom,blockBrick,tiled,7,yes,no,no,9,far,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,good,boda,selfEmployed,below500,5001_10_000,3000,n/a,verySerious,verySerious,verySerious,verySerious,yes,doMore,doMore,no,5,yes,withinaYear,yes
2,male,bedsitter,blockBrick,tiled,6,yes,notSure,no,8,far,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,bad,boda,salaried,501_1000,10_001_30_000,4500,n/a,verySerious,verySerious,verySerious,verySerious,yes,doingNothing,doingNothing,no,4,notSure,moreThree,yes
3,male,singleRoom,blockBrick,cemented,6,yes,no,no,8,far,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,bad,boda,selfEmployed,501_1000,10_001_30_000,3000,n/a,verySerious,verySerious,verySerious,verySerious,yes,doMore,doMore,no,6,no,withinaYear,yes
1,male,singleRoom,stone,tiled,9,yes,no,yes,7,far,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,good,boda,selfEmployed,below500,10_001_30_000,4500,n/a,verySerious,verySerious,verySerious,fairlySerious,yes,doingNothing,doingNothing,yes,6,notSure,withinaYear,yes
1,female,bedsitter,blockBrick,tiled,5,yes,notSure,no,5,near,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,good,matatu,none,below500,below5000,4500,n/a,notProblem,notProblem,notProblem,notProblem,no,doingEnough,tooMuch,yes,1,notSure,twoThreeYrs,yes
2,male,bedsitter,blockBrick,tiled,10,yes,no,no,10,far,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,bad,boda,selfEmployed,501_1000,10_001_30_000,4500,n/a,verySerious,fairlySerious,somewhatProblem,fairlySerious,yes,doMore,doMore,no,4,no,twoThreeYrs,yes
2,male,singleRoom,blockBrick,tiled,8,notSure,notSure,no,10,far,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,bad,boda,selfEmployed,501_1000,10_001_30_000,3000,n/a,verySerious,fairlySerious,somewhatProblem,verySerious,yes,doMore,doMore,no,5,notSure,twoThreeYrs,yes
1,female,singleRoom,blockBrick,tiled,9,yes,yes,no,6,far,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,bad,boda,selfEmployed,501_1000,10_001_30_000,3000,n/a,verySerious,somewhatProblem,verySerious,somewhatProblem,yes,doMore,doMore,no,8,notSure,twoThreeYrs,yes
3,male,SC_two_bedr,stone,tiled,10,yes,yes,no,9,far,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,bad,boda,salaried,1001_3000,10_001_30_000,10000,n/a,verySerious,fairlySerious,verySerious,fairlySerious,yes,doMore,doMore,no,8,no,twoThreeYrs,yes
3,male,SC_two_bedr,stone,tiled,10,yes,yes,no,8,far,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,bad,boda,salaried,1001_3000,10_001_30_000,10000,n/a,verySerious,verySerious,verySerious,verySerious,yes,doMore,doMore,no,8,no,moreThree,yes
4,male,SC_two_bedr,stone,tiled,10,yes,yes,no,8,far,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,bad,boda,salaried,1001_3000,10_001_30_000,10000,n/a,verySerious,somewhatProblem,fairlySerious,somewhatProblem,yes,doMore,doMore,no,6,no,moreThree,yes
4,male,SC_two_bedr,stone,tiled,10,yes,yes,no,7,far,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,bad,boda,salaried,1001_3000,10_001_30_000,10000,n/a,verySerious,fairlySerious,fairlySerious,verySerious,yes,doMore,doMore,no,7,no,moreThree,yes
1,female,SC_one_bedr,stone,tiled,5,yes,yes,no,7,far,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,bad,boda,salaried,501_1000,10_001_30_000,7000,n/a,verySerious,fairlySerious,verySerious,verySerious,yes,doMore,doMore,no,5,no,moreThree,yes
1,male,SC_one_bedr,stone,tiled,7,yes,yes,no,7,far,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,bad,boda,salaried,501_1000,10_001_30_000,7000,n/a,verySerious,verySerious,verySerious,verySerious,yes,doMore,doMore,no,6,no,twoThreeYrs,yes
2,female,SC_one_bedr,stone,tiled,8,yes,yes,no,8,far,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,bad,boda,salaried,501_1000,10_001_30_000,7000,n/a,verySerious,somewhatProblem,fairlySerious,verySerious,yes,doMore,doMore,no,2,no,moreThree,yes
2,male,SC_one_bedr,stone,tiled,6,yes,yes,no,6,far,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,bad,boda,salaried,1001_3000,10_001_30_000,7000,n/a,verySerious,verySerious,somewhatProblem,verySerious,yes,doMore,doMore,no,3,no,twoThreeYrs,yes
3,male,SC_one_bedr,stone,tiled,6,yes,yes,no,7,far,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,bad,boda,selfEmployed,1001_3000,10_001_30_000,7000,n/a,somewhatProblem,somewhatProblem,somewhatProblem,somewhatProblem,yes,doMore,doMore,no,2,no,twoThreeYrs,yes
2,female,SC_one_bedr,stone,tiled,7,yes,yes,no,5,far,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,bad,boda,selfEmployed,1001_3000,10_001_30_000,7000,n/a,fairlySerious,fairlySerious,somewhatProblem,somewhatProblem,yes,doMore,doMore,no,7,no,twoThreeYrs,yes
3,male,SC_one_bedr,stone,tiled,7,yes,yes,no,4,far,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,bad,boda,salaried,1001_3000,10_001_30_000,7000,n/a,verySerious,fairlySerious,verySerious,somewhatProblem,yes,doMore,doMore,no,8,no,twoThreeYrs,yes
2,female,SC_one_bedr,stone,tiled,4,yes,yes,no,5,far,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,bad,boda,selfEmployed,1001_3000,10_001_30_000,7000,n/a,verySerious,somewhatProblem,somewhatProblem,somewhatProblem,yes,doMore,doMore,no,7,no,moreThree,yes
1,male,singleRoom,blockBrick,cemented,5,yes,yes,no,8,near,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,good,boda,selfEmployed,501_1000,5001_10_000,3500,n/a,verySerious,verySerious,verySerious,verySerious,yes,doMore,doMore,no,5,notSure,twoThreeYrs,yes
